ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?",Stock,"Regular price","Sale price",Categories,Tags,Images,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
,variable,BOX-FAM,"Box Family — Misto Pane & Basi",1,1,visible,"26 pezzi: 4 pinse, 4 focacce, 6 pane rosetta, 6 base pizza, 6 pane filoncino. La scorta perfetta per la famiglia.","Il box che mette d'accordo tutta la famiglia: 26 pezzi assortiti del nostro panificato senza glutine e senza lattosio. Surgelati pronti all'uso. Composizione: 4 Pinse romane, 4 Pan focacce, 6 Pane rosetta, 6 Base pizza, 6 Pane filoncino.",taxable,1,18,59.90,,"Pane & Basi","gluten-free,lactose-free,box-famiglia","/wp-content/themes/lcgf-child/assets/products/box-family.png",Formato,"Box 26 pezzi",1,0
,variable,PNS-RM,"Base Pinsa Romana",1,1,visible,"Pinsa romana 30×20 cm, 260 g. Croccante fuori, alveolata dentro. Da farcire a piacere.","La nostra pinsa romana rispetta la ricetta tradizionale: lunga lievitazione e altissima idratazione, ma con farine completamente senza glutine. Surgelata pronta all'uso, basta riscaldare in forno 5-6 min a 220°C. Disponibile anche in cartone da 14 pezzi per pizzerie e ristoranti.",taxable,1,48,4.50,,"Pane & Basi","gluten-free,lactose-free,pinsa","/wp-content/themes/lcgf-child/assets/products/pinsa-romana.png",Formato,"1 pezzo (260g)|Confezione 4 pezzi|Cartone 14 pezzi",1,0
,variable,PFC-22,"Pan Focaccia",1,1,visible,"Focaccia rettangolare 22 cm, 230 g. Soffice e profumata, perfetta per panini gourmet.","La nostra Pan Focaccia è morbida, alta, leggermente unta di olio EVO. Da farcire come un panino o tagliare e portare in tavola. Surgelata pronta all'uso. Anche in cartone da 12 pezzi.",taxable,1,42,3.90,,"Pane & Basi","gluten-free,lactose-free,focaccia","/wp-content/themes/lcgf-child/assets/products/pan-focaccia.png",Formato,"1 pezzo (230g)|Confezione 4 pezzi|Cartone 12 pezzi",1,0
,simple,FRD-20-01,"Focaccia Rotonda",1,0,visible,"Focaccia rotonda diametro 20 cm, 120 g. Monoporzione perfetta, dorata e fragrante.","Una focaccia monoporzione dal diametro generoso di 20 cm. Pizzichi di sale grosso in superficie, olio EVO, alveolatura aperta. Naturalmente senza glutine e senza lattosio.",taxable,1,36,2.80,,"Pane & Basi","gluten-free,lactose-free,focaccia","/wp-content/themes/lcgf-child/assets/products/focaccia-rotonda.png",,,,
,variable,BPZ-33,"Base Pizza",1,1,visible,"Base pizza diametro 33 cm, 300 g. Cottura veloce, gusto pieno. La pizza del venerdì sera, senza glutine.","Una base pizza tonda di 33 cm pronta in 8 minuti. Farcite, infornate a 230°C e portate in tavola: nessuno crederà che sia senza glutine. Anche in cartone da 16 pezzi per ristoratori.",taxable,1,56,4.20,,"Pane & Basi","gluten-free,lactose-free,pizza","/wp-content/themes/lcgf-child/assets/products/base-pizza.png",Formato,"1 pezzo (300g)|Confezione 4 pezzi|Cartone 16 pezzi",1,0
,variable,FIL-12,"Pane Filoncino",1,0,visible,"Filoncino 120 g, crosta dorata e croccante. Confezione da 2 pezzi (240 g).","Il filoncino di pane che mancava alla tua tavola. Crosta croccante, mollica morbida e ben alveolata. Confezione doppia da scongelare al momento. Anche in cartone da 20 pezzi.",taxable,1,60,4.50,,"Pane & Basi","gluten-free,lactose-free,pane","/wp-content/themes/lcgf-child/assets/products/pane-filoncino.png",Formato,"Confezione 2 pezzi (240g)|Cartone 20 pezzi",1,0
,variable,RST-12,"Pane Rosetta",1,0,visible,"Rosette 120 g, classiche e con sesamo. Confezione da 2 pezzi (240 g).","Le classiche rosette romane, vuote dentro, fragrantissime fuori. Una classica e una al sesamo in confezione. Anche in cartone da 20 pezzi.",taxable,1,54,4.20,,"Pane & Basi","gluten-free,lactose-free,pane","/wp-content/themes/lcgf-child/assets/products/pane-rosetta.png",Formato,"Confezione 2 pezzi (240g)|Cartone 20 pezzi",1,0
,variable,BRC-TPP,"Brioche col Tuppo",1,1,visible,"Brioche siciliana 130 g, col classico cappellino tuppo. Per la granita o la colazione.","La brioche siciliana col tuppo: il cappellino sopra, l'impasto morbido e dorato sotto. Senza glutine e senza lattosio, ma con tutto il gusto della tradizione. Perfetta con la granita estiva.",taxable,1,48,2.90,,"Dolci & Colazione","gluten-free,lactose-free,brioche","/wp-content/themes/lcgf-child/assets/products/brioche.png",Formato,"1 pezzo (130g)|Confezione 6 pezzi",1,0
,variable,CRN-VT,"Cornetto Vuoto",1,1,visible,"Cornetto vuoto 130 g, sfogliato e dorato. La colazione che mancava.","Cornetti sfogliati a strati come quelli del bar, ma senza glutine e senza lattosio. Da scongelare la sera prima e infornare 5 minuti a 180°C per ritrovare la fragranza.",taxable,1,60,2.50,,"Dolci & Colazione","gluten-free,lactose-free,colazione","/wp-content/themes/lcgf-child/assets/products/cornetto.png",Formato,"1 pezzo (130g)|Confezione 6 pezzi",1,0
,variable,CRT,"Crostata di Frutta",1,0,visible,"Crostata monoporzione (100 g) o intera Ø 20/25 cm. Pasta frolla burrosa e confettura.","Crostata tradizionale: pasta frolla che si scioglie in bocca, confettura di albicocche o frutti di bosco a copertura abbondante. Disponibile in monoporzione 100 g o intera diametro 20 cm (4-6 persone) e 25 cm (8-10 persone).",taxable,1,38,3.50,,"Dolci & Colazione","gluten-free,lactose-free,crostata","/wp-content/themes/lcgf-child/assets/products/crostate.png",Formato,"Monoporzione 100g|Intera Ø 20 cm|Intera Ø 25 cm",1,0
,variable,BSC-CC,"Biscotti con gocce di cioccolato",1,1,visible,"Sacchetto 250 g di biscotti friabili con gocce di cioccolato. Per la colazione e la merenda.","Biscotti friabili con generose gocce di cioccolato fondente. Naturalmente senza glutine e senza lattosio. Busta richiudibile per mantenere la fragranza.",taxable,1,42,7.50,,"Dolci & Colazione","gluten-free,lactose-free,biscotti","/wp-content/themes/lcgf-child/assets/products/biscotti.png",Formato,"Busta 250g|Confezione 3 buste",1,0
,variable,TRM,"Tiramisù",1,1,visible,"Tiramisù monoporzione 100 g, anche al kg. Crema, caffè, savoiardi gluten free. Senza lattosio.","Il dolce italiano per eccellenza, ora senza glutine e senza lattosio. Savoiardi gluten free inzuppati nel caffè, crema al mascarpone vegetale, cacao amaro in superficie. Anche in cartone da 16 pezzi.",taxable,1,30,5.50,,"Dolci & Colazione","gluten-free,lactose-free,tiramisu","/wp-content/themes/lcgf-child/assets/products/tiramisu.png",Formato,"Monoporzione 100g|Al kg (vaschetta)|Cartone 16 pezzi",1,0
,variable,CHC,"Cheesecake — vari gusti",1,1,visible,"Cheesecake monoporzione 130 g. Pistacchio, frutti di bosco, fragola, limone, pan di stelle.","Cinque versioni della nostra cheesecake: pistacchio, frutti di bosco, fragola, limone, pan di stelle. Base di biscotto gluten free, crema soffice senza lattosio. Anche in cartone da 16 pezzi per ristoratori.",taxable,1,36,4.80,,"Dolci & Colazione","gluten-free,lactose-free,cheesecake","/wp-content/themes/lcgf-child/assets/products/cheesecake.png","Formato|Gusto","Monoporzione 130g|Confezione 4 pezzi|Cartone 16 pezzi","pistacchio|frutti di bosco|fragola|limone|pan di stelle",1,0
